subject	hemi	ParaSub	PreSub	Sub	CA1	CA3	CA4_DG	Tail	SRLM	Cyst
sub-7027863	L	5.016007245518267	264.97638275288045	312.56045148707926	560.7368099726737	144.8882092880085	379.0645475508645	289.296417882666	526.1927600745112	34.64005003683269
sub-7027863	R	0.3120004506781697	256.15237000677735	311.86445048172027	676.7529775556177	228.49633005820212	357.0645157722756	236.85634213406595	521.8087537419051	32.63204713631421
sub-6451366	L	4.82397214975208	308.75021749176085	428.0695286253467	685.9800396300852	137.33520712237805	492.0611591823399	419.0295808156952	629.2283672746271	12.975925086066129
sub-6451366	R	0.0	283.7263619620353	497.3571286071092	594.8285658750683	217.90274198167023	439.6534617478028	375.0778345623985	590.5325906770304	15.55191021412611
sub-8244977	L	5.600038729608059	276.37791141681373	420.9469112493098	647.7484797984362	94.8566560242325	476.7712973281741	387.8746825233102	594.8681140802801	43.16029849462211
sub-8244977	R	0.0240001659840345	273.25788983888924	463.5952062029392	651.2845042534173	179.61724222451448	457.7951660901308	364.1865186970681	636.8684045523405	20.600142469629645
sub-9578406	L	7.304061568342149	312.418633479625	449.9237925559282	729.5581496860832	121.48102400358766	559.9567200597376	442.3717288970947	682.9017564039677	39.72033481579274
sub-9578406	R	0.0800006743520498	285.37040548119694	454.14782816171646	685.8137809503824	184.9055586298928	558.7567099444568	440.96371702849865	692.6778388097882	43.840369544923306
sub-9686611	L	4.696002956479788	235.672148372978	364.88822972401977	573.2163608819246	93.28805873170496	392.7442472614348	370.9202335216105	566.1203564144671	19.45601224899292
sub-9686611	R	0.4480002820491791	248.79215663298965	378.30423817038536	557.8163511864841	144.44809094071388	399.8242517188192	367.0082310587168	592.5123730301857	17.312010899186134
sub-7840988	L	4.70401993766427	288.8332241997123	367.87355920672417	695.410947451368	134.20056879986078	456.80193612352014	396.7536816131324	595.4985239794478	17.496074155904353
sub-7840988	R	0.0	313.87333033047616	361.87353377602994	750.1871796166524	232.86498698219657	434.257840571925	403.50571023114026	699.7789659649134	20.744087922386825
sub-7982706	L	4.128013651818037	252.56083524785936	337.785117094405	503.8816663948819	129.80042926501483	333.58510320447385	264.2728739809245	483.6655995380133	27.67209151480347
sub-7982706	R	0.0	237.3447849266231	312.0810320880264	370.4732251977548	183.96860840544105	293.17696957010776	201.39266602881253	410.8333586733788	25.288083630613983
sub-8749907	L	6.823980463668704	324.27107164636254	484.9506116379053	682.9740447178483	127.48763501644136	569.2543702851981	411.1188230104744	696.1820069048554	56.351838670670986
sub-8749907	R	0.4639986716210842	313.2951030693948	483.4466159436852	642.8701595310122	186.9194648694247	506.870548883453	457.77468943968415	696.6460055764765	37.55989247001708
sub-9938814	L	4.576031647622585	290.77001095190644	386.39467228762805	620.7642931770533	101.61670277640224	550.5318074524403	411.6508469581604	643.3964496999979	23.63216343894601
sub-9938814	R	0.0	256.1857717689127	421.074912134558	671.6206448972225	233.7696167398244	526.739642906934	383.34665120765567	698.9568339530379	22.224153701215982
sub-7130957	L	5.488023260608316	280.5211889697239	389.3536502486095	620.5066299745813	85.62436291296035	493.066089826636	417.0177675010637	597.514532524161	25.648108707740903
sub-7130957	R	0.5520023396238685	313.69732958450913	400.665698193945	594.4425195036456	163.64869361370802	409.8977373233065	357.4255149234086	613.1625988474116	31.62413403671235
sub-7447784	L	4.471987717784941	245.8793246978894	335.39107885584235	724.78200940229	118.87167352158576	497.31863412540406	386.4709385661408	645.5662269666791	15.431957616470754
sub-7447784	R	0.087999758310616	240.56733928713948	334.6550808772445	709.5660511925817	168.1035383073613	497.8146327631548	372.7829761598259	653.8222042918205	27.495924483053383
sub-9745500	L	6.215981480665505	327.4470244338736	470.398598536849	726.3738359073177	159.91952355019748	525.606434055604	408.9427816327661	664.0140216965228	27.719917413778603
sub-9745500	R	0.3279990227892995	318.87104998435825	502.7585021266714	645.294077469036	186.0874455878511	508.8224840601906	399.95080842264	676.5899842288345	4.631986199878156
sub-7698204	L	4.7920342572033405	310.11421693861485	418.5949924439192	453.60324271023273	82.96059306710958	380.5947207883	339.5704275146127	497.05155331268907	14.936106774955988
sub-7698204	R	0.616004403680563	239.1697097718716	383.0107380598784	541.9798744954169	164.88917875662446	353.93853022903204	361.4265837594867	506.4356203973293	28.30420234054327
sub-6363167	L	3.0239994395524263	308.76794277504086	400.20792582817376	540.1838998859748	138.46397433802483	544.9758989978582	278.1039484580979	597.8398892004043	13.975997409783304
sub-6363167	R	0.7599998591467738	303.9199436735362	495.2239082185552	694.6558712571859	187.4799652537331	508.591905741021	420.831922005862	737.4398633278906	30.279994388110936
sub-7625176	L	2.3359892331063747	242.1828837459907	369.9822947010398	540.1575103402138	76.46364756859839	422.726051597856	319.82252589426935	541.4695042930543	28.391869137994945
sub-7625176	R	0.0	234.83091763220727	329.19848267920315	654.4849833892658	200.53507570642975	425.9980365168303	336.070451005362	576.517342752777	58.47173049580306
sub-9572797	L	7.431959688663483	291.822417140007	335.57417982816696	669.4283689856529	165.5111022591591	399.9898304343224	287.7824390530586	515.9972012042999	22.599877417087555
sub-9572797	R	0.1519991755485534	287.3104416131973	350.2621001601219	502.3092754483223	205.4228857755661	399.1818348169327	392.8698690533638	528.2851345539093	25.527861535549164
sub-8699817	L	2.2799871023744345	259.3905326575041	450.1254536919296	623.2124745585024	79.43155066482723	492.8292121216655	362.469949549064	608.1725596375763	35.01580191962421
sub-8699817	R	0.3759978730231523	275.1504435054958	437.92552270554006	642.1563673950732	158.51110332086682	475.0453127231449	388.90180002711713	649.7803242672235	39.73577521927655
sub-8858912	L	3.695974359288812	346.3975968770683	523.7723663449287	486.1326274694875	86.43140038475394	342.21362590324134	407.46917319484055	547.2522034542635	10.039930348284544
sub-8858912	R	0.0479996670037508	315.2378130471334	481.7406579386443	563.1320932880044	153.6709339125082	395.253257942386	413.1811335682869	603.0758161796257	17.759876791387796
sub-7777200	L	5.887979030609131	294.2629520148039	417.9745114296675	499.15822230279446	97.67965212464333	418.4465097486973	355.14273519814014	564.3579901009798	9.135967463254929
sub-7777200	R	0.3279988318681717	268.6790431290865	398.0625823438168	491.7822485715151	149.5594673603773	410.214539065957	338.2467953711748	556.2940188199282	15.03194646537304
sub-8001042	L	3.632004400715232	339.4404112827033	327.35239663627	441.56853502616286	84.24810207914561	440.8245341246948	343.9524167496711	522.7846334315836	16.48801997769624
sub-8001042	R	0.2720003295689821	256.80031115189195	341.8724142294377	480.9125826973468	196.33623789064583	419.60850841831416	317.3523845197633	515.3046243684366	37.00004483107477
sub-9198294	L	5.527995114214718	262.567767935805	323.5837140083313	437.0796136977151	118.63989514298736	398.4076478770003	273.3757583834231	463.0795907182619	25.77597721852362
sub-9198294	R	0.1359998797997832	246.27178233861923	410.511637179181	427.2076224228367	183.3998379064724	376.8796669039875	298.87973584234715	476.7915785992518	49.11995658650994
sub-7307768	L	2.1440045945346355	273.29658566601574	372.2247976660729	647.3053871551529	108.18423183541744	484.52903833054006	351.4487531436607	587.1692582853138	13.368028647266328
sub-7307768	R	0.0	258.36855367571115	378.8808119297028	589.0412622969598	167.28835849370807	476.1770204324275	345.832741108723	578.9372406443581	29.392062986269597
sub-8517582	L	5.936010647565126	348.0086242314428	466.2408363074064	581.1450424138457	136.10424413345754	549.9849865213037	334.9206007551402	643.0731534957886	11.712021008133888
sub-8517582	R	0.0	293.47252640873194	454.3528149835765	649.8171655926853	223.47240084782243	563.1210100837052	362.15264960192144	649.3291647173464	70.08812571875751
