subject	hemi	ParaSub	PreSub	Sub	CA1	CA3	CA4_DG	Tail	SRLM	Cyst
sub-7027863	L	8.482929730787873	196.38530689291656	206.1986117754132	265.7746230494231	123.710583999753	358.3239109329879	81.82999275438488	347.2231462262571	16.551011295989156
sub-7027863	R	0.0	170.31662963703275	157.9140999969095	321.2212261464447	390.2958299014717	290.59875580854714	61.516737749800086	335.19731779396534	8.48769810050726
sub-6451366	L	5.6409797254018486	360.3694359655492	408.1484865560196	486.464167883154	119.22828153334558	527.1478864098899	222.42054039845243	543.3508019694127	1.5401829681359231
sub-6451366	R	0.1478194179944694	309.166696919594	374.0689581558108	486.0064045242034	169.05773050244898	463.9193224548362	252.0845597321168	517.9210937060416	6.628031968139112
sub-8244977	L	8.525842560455203	260.3052267199382	365.1187308146618	591.744972073473	89.34014888852835	443.0577110443264	321.33080451004207	514.8121175598353	31.43308398127556
sub-8244977	R	0.0143051049672067	282.4542975774966	410.2561053545214	608.3865775186568	151.30509523814544	404.9107644651085	281.48155043972656	570.06320131151	21.905884073115885
sub-9578406	L	7.596020380966365	339.279373601079	431.7238476285711	678.9259120291099	107.62220966629684	502.7916993284598	370.0926088187844	641.7802756400779	29.37795453052968
sub-9578406	R	0.0	294.5663270773366	435.5766941243783	644.4457969162613	199.2989754192531	488.7726786630228	330.08594780415297	663.3810115633532	34.57548260036856
sub-9686611	L	6.127338334918022	237.83609452843663	349.4585560709238	525.6207252889872	78.35840533673763	359.6199241578579	319.0745873004198	546.653946608305	11.229479983448982
sub-9686611	R	0.2765646874904632	235.8238480091095	358.07974494993687	565.3506731539965	120.77293801307678	392.41191305220127	305.9997532814741	583.2224739938974	11.08642928302288
sub-7840988	L	6.957053458783776	246.4103458095342	238.87155107455328	659.7947430009954	72.69381766906008	388.879738024436	269.4034313326701	454.2302641742863	11.825560368597507
sub-7840988	R	0.0	202.39351203432307	191.37380638439208	748.7153275790624	187.56864623352885	360.0167876570485	241.14129572594535	528.1590899624862	7.925032795406878
sub-7982706	L	7.810602567158639	226.1927615236491	265.67969672428444	404.6349894041196	102.90635775448754	338.4594445768744	175.1091319131665	364.3851137817837	14.43864748068154
sub-7982706	R	0.0619889092631638	204.7398305409588	226.01156317349523	183.26305767009035	210.4857255918905	203.86721743363887	192.29436491196972	316.892072530929	0.7295617782510817
sub-8749907	L	7.443430947139859	329.0892932843417	407.59579367749393	601.4492476973683	110.29247777536511	490.6179437227547	340.00886847265065	635.1425744574517	46.329516388475895
