subject	hemi	Sub	CA1	CA2	CA3	CA4	DG	SRLM	Cyst
sub-8913388	L	613.2948867771775	1238.6697516273707	146.4797341171652	401.57527108024806	170.43169064074755	167.01569684129208	737.4466614229605	29.343946736305952
sub-8913388	R	570.8629637975246	1248.4937337953597	147.62373204063624	356.14335354603827	224.55159240495414	186.02366233896464	742.1186529425904	29.895945734344423
